number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_scheduler_gamma,params_scheduler_step_size,user_attrs_epoch_10_train_acc,user_attrs_epoch_10_val_acc,user_attrs_epoch_11_train_acc,user_attrs_epoch_11_val_acc,user_attrs_epoch_12_train_acc,user_attrs_epoch_12_val_acc,user_attrs_epoch_13_train_acc,user_attrs_epoch_13_val_acc,user_attrs_epoch_14_train_acc,user_attrs_epoch_14_val_acc,user_attrs_epoch_15_train_acc,user_attrs_epoch_15_val_acc,user_attrs_epoch_1_train_acc,user_attrs_epoch_1_val_acc,user_attrs_epoch_2_train_acc,user_attrs_epoch_2_val_acc,user_attrs_epoch_3_train_acc,user_attrs_epoch_3_val_acc,user_attrs_epoch_4_train_acc,user_attrs_epoch_4_val_acc,user_attrs_epoch_5_train_acc,user_attrs_epoch_5_val_acc,user_attrs_epoch_6_train_acc,user_attrs_epoch_6_val_acc,user_attrs_epoch_7_train_acc,user_attrs_epoch_7_val_acc,user_attrs_epoch_8_train_acc,user_attrs_epoch_8_val_acc,user_attrs_epoch_9_train_acc,user_attrs_epoch_9_val_acc,state
10,0.6705202312138728,2025-05-09 19:07:30.612331,2025-05-09 19:07:46.467492,0 days 00:00:15.855161,16,0.19916484094062853,0.0006651856261419711,0.9270039549501539,3,0.861003861003861,0.6358381502890174,0.8706563706563707,0.6705202312138728,0.8687258687258688,0.6647398843930635,0.8996138996138996,0.6473988439306358,,,,,0.3108108108108108,0.4046242774566474,0.4034749034749035,0.3988439306358382,0.5405405405405406,0.5606936416184971,0.6274131274131274,0.5491329479768786,0.6795366795366795,0.5953757225433526,0.7451737451737451,0.6069364161849711,0.7644787644787645,0.6069364161849711,0.806949806949807,0.6705202312138728,0.8436293436293436,0.6416184971098265,COMPLETE
11,0.7167630057803468,2025-05-09 19:07:46.473870,2025-05-09 19:08:04.711311,0 days 00:00:18.237441,16,0.20509470676708438,0.0005862237578700394,0.9254281035777971,3,0.8687258687258688,0.6820809248554913,0.862934362934363,0.6589595375722543,0.8552123552123552,0.6994219653179191,0.8397683397683398,0.653179190751445,0.8745173745173745,0.7109826589595376,0.862934362934363,0.7167630057803468,0.2915057915057915,0.3930635838150289,0.3745173745173745,0.42196531791907516,0.44594594594594594,0.5202312138728323,0.5791505791505791,0.5202312138728323,0.6814671814671814,0.6473988439306358,0.7722007722007722,0.6473988439306358,0.7741312741312741,0.6358381502890174,0.8088803088803089,0.6416184971098265,0.8243243243243243,0.6705202312138728,COMPLETE
12,0.6878612716763006,2025-05-09 19:08:04.717397,2025-05-09 19:08:22.955306,0 days 00:00:18.237909,16,0.2168283211288482,0.0001270444124775249,0.9110066954370057,3,0.918918918918919,0.6358381502890174,0.944015444015444,0.6705202312138728,0.9536679536679536,0.6358381502890174,0.9613899613899614,0.6705202312138728,0.9555984555984556,0.6878612716763006,0.9633204633204633,0.6647398843930635,0.32432432432432434,0.3872832369942196,0.5482625482625483,0.5202312138728323,0.6332046332046332,0.5433526011560693,0.6583011583011583,0.6416184971098265,0.7683397683397684,0.6069364161849711,0.8088803088803089,0.5895953757225434,0.8416988416988417,0.5895953757225434,0.8841698841698842,0.6184971098265896,0.9073359073359073,0.6647398843930635,COMPLETE
13,0.5780346820809249,2025-05-09 19:08:22.961418,2025-05-09 19:08:30.260569,0 days 00:00:07.299151,16,0.3463040183371182,0.0007753197823740723,0.9850985921894262,5,,,,,,,,,,,,,0.33783783783783783,0.4913294797687861,0.38803088803088803,0.3930635838150289,0.44015444015444016,0.48554913294797686,0.527027027027027,0.5028901734104047,0.5173745173745173,0.4393063583815029,0.555984555984556,0.5780346820809249,,,,,,,PRUNED
14,0.5260115606936416,2025-05-09 19:08:30.265396,2025-05-09 19:08:38.743031,0 days 00:00:08.477635,16,0.228846847018971,0.001420458725156691,0.9074340055789074,5,,,,,,,,,,,,,0.361003861003861,0.42196531791907516,0.4575289575289575,0.41040462427745666,0.5193050193050193,0.5606936416184971,0.581081081081081,0.5202312138728323,0.5521235521235521,0.45664739884393063,0.6023166023166023,0.5838150289017341,0.6872586872586872,0.5260115606936416,,,,,PRUNED
15,0.6936416184971098,2025-05-09 19:08:38.748103,2025-05-09 19:08:53.230405,0 days 00:00:14.482302,16,0.15551996937923213,5.975048940062263e-05,0.9491145745751339,3,0.9691119691119691,0.6878612716763006,0.9594594594594594,0.6763005780346821,0.9691119691119691,0.6820809248554913,,,,,,,0.3474903474903475,0.3468208092485549,0.5791505791505791,0.5317919075144508,0.6988416988416989,0.4682080924855491,0.7876447876447876,0.6069364161849711,0.8416988416988417,0.6473988439306358,0.8938223938223938,0.6878612716763006,0.9131274131274131,0.6936416184971098,0.9536679536679536,0.6763005780346821,0.9343629343629344,0.6416184971098265,COMPLETE
16,0.5549132947976878,2025-05-09 19:08:53.236606,2025-05-09 19:09:00.563990,0 days 00:00:07.327384,16,0.3335036132709329,0.00041677243684422983,0.8988430890922003,6,,,,,,,,,,,,,0.3127413127413127,0.3352601156069364,0.4555984555984556,0.45664739884393063,0.4942084942084942,0.5086705202312138,0.5752895752895753,0.5028901734104047,0.6042471042471043,0.5202312138728323,0.6254826254826255,0.5549132947976878,,,,,,,PRUNED
17,0.5260115606936416,2025-05-09 19:09:00.569248,2025-05-09 19:09:08.004949,0 days 00:00:07.435701,16,0.2563577752673346,0.002250463591048166,0.9556552701550115,4,,,,,,,,,,,,,0.2972972972972973,0.3352601156069364,0.3436293436293436,0.3815028901734104,0.3301158301158301,0.4277456647398844,0.4189189189189189,0.4682080924855491,0.47297297297297297,0.4508670520231214,0.527027027027027,0.5260115606936416,,,,,,,PRUNED
18,0.6936416184971098,2025-05-09 19:09:08.010065,2025-05-09 19:09:23.799475,0 days 00:00:15.789410,16,0.18931856253704304,0.0003301962943065244,0.9858277287593568,6,0.9324324324324325,0.6878612716763006,0.9227799227799228,0.6763005780346821,0.9305019305019305,0.653179190751445,0.9478764478764479,0.6763005780346821,,,,,0.2972972972972973,0.3815028901734104,0.5328185328185329,0.5028901734104047,0.6447876447876448,0.5317919075144508,0.6872586872586872,0.5780346820809249,0.750965250965251,0.5838150289017341,0.8378378378378378,0.5953757225433526,0.8552123552123552,0.6358381502890174,0.9073359073359073,0.6936416184971098,0.9305019305019305,0.6878612716763006,COMPLETE
19,0.4797687861271676,2025-05-09 19:09:23.805964,2025-05-09 19:09:30.951194,0 days 00:00:07.145230,16,0.24391367428462857,0.0026590615307247644,0.8824013927534867,4,,,,,,,,,,,,,0.30694980694980695,0.35260115606936415,0.38996138996138996,0.4046242774566474,0.37065637065637064,0.45664739884393063,0.43822393822393824,0.49710982658959535,0.4691119691119691,0.5202312138728323,0.46525096525096526,0.4797687861271676,,,,,,,PRUNED
